time,ch1,ch2,ch3
1,3.3,3.12,3.3
3,3.3,3.3,3.3
5,3.3,3.3,3.3
7,3.3,3.3,3.09
9,3.3,3.3,2.96
11,3.3,3.3,3.05
13,3.3,3.19,3.18
15,3.11,1.02,3.24
17,2.97,0.82,3.26
19,3.04,1.84,3.07
21,3.18,3.21,2.99
23,3.3,3.3,3.04
25,3.3,3.3,3.12
27,3.3,3.3,3.02
29,3.3,3.3,3.26
31,3.3,3.3,3.15
33,3.3,3.08,3.11
35,2.23,0.85,3.18
37,2.17,0.53,3.3
39,2.27,1.71,3.27
41,2.55,3.25,3.3
43,2.73,3.3,3.24
45,3.3,3.3,3.2
47,3.3,3.3,3.27
49,3.3,3.3,3.25
51,3.3,3.3,3.3
53,3.06,2.83,3.17
55,1.84,0.78,3.3
57,1.75,0.41,3.3
59,2.32,1.68,3.3
61,2.9,3.11,3.3
63,3.3,3.3,3.3
65,3.3,3.3,3.3
67,3.3,3.3,3.26
69,3.3,3.3,3.12
71,3.3,3.3,3.24
73,3.26,3.04,3.22
75,1.84,0.95,3.3
77,1.49,0.56,3.3
79,1.73,1.58,3.3
81,2.06,2.96,3.3
83,2.36,3.3,3.3
86,2.93,3.3,3.3
87,3.3,3.3,3.3
89,3.3,3.3,3.3
91,3.3,3.3,3.3
93,2.26,2.9,3.3
95,0.89,0.78,3.3
97,1.27,0.34,3.3
99,1.79,1.87,3.3
101,2.56,3.29,3.3
103,3.3,3.3,3.3
105,3.3,3.3,3.3
107,3.3,3.3,3.3
109,3.3,3.3,3.3
111,3.3,3.3,3.3
113,3.3,2.93,3.3
115,1.95,0.74,3.3
117,2.13,0.14,3.3
119,2.61,1.73,3.3
121,3.3,3.3,3.3
123,3.3,3.3,3.3
125,3.3,3.3,3.3
128,3.3,3.3,3.3
130,3.3,3.3,3.3
132,3.3,3.3,3.28
133,3.3,2.88,3.3
135,3.3,0.94,3.3
137,3.3,0.69,3.3
139,3.3,2.38,3.3
141,3.3,3.3,3.29
143,3.3,3.3,3.3
145,3.3,3.3,3.3
147,3.3,3.3,3.3
149,3.3,3.3,3.28
151,3.3,3.3,3.3
153,3.3,3.03,3.3
155,3.3,1.09,3.3
157,3.06,0.97,3.3
159,2.15,2.24,3.3
161,1.47,3.3,3.3
163,0.75,3.3,3.3
165,0.83,3.3,3.3
167,1.67,3.3,3.3
169,1.83,3.3,3.3
172,0.76,3.3,3.3
174,0,2.74,3.3
176,0,0.9,3.3
178,0,0.7,3.3
179,0,2.25,3.3
181,0,3.3,3.3
183,0,3.3,3.3
185,0.5,3.3,3.3
187,2.23,3.3,3.3
189,2.75,3.3,3.3
191,2.69,3.3,3.3
193,1.64,2.5,3.3
195,0.65,0.71,3.3
197,0.86,0.35,3.3
199,1.61,2.12,3.3
201,2.49,3.3,3.3
203,3.3,3.3,3.3
205,3.3,3.3,3.3
207,3.3,3.3,3.3
209,3.3,3.3,3.3
211,3.3,3.3,3.3
214,3.3,2.3,3.3
216,2.47,0.47,3.3
218,2.12,0.26,3.3
220,2.26,1.73,3.3
222,2.6,3.16,3.3
223,2.94,3.3,3.3
225,3.22,3.3,3.3
227,3.3,3.3,3.3
229,3.3,3.3,3.3
231,3.3,3.3,3.3
233,1.82,2.27,3.3
235,0.5,0.5,3.3
237,0.89,0.59,3.3
239,1.57,2.32,3.3
241,2.26,3.3,3.3
243,2.93,3.3,3.3
245,3.3,3.3,3.3
247,3.3,3.3,3.3
249,3.3,3.3,3.3
251,3.3,3.3,3.3
253,3.3,2.32,3.3
256,3.3,0.63,3.3
258,3.3,0.58,3.3
260,3.3,2.13,3.3
262,3.3,3.22,3.3
264,3.3,3.3,3.3
266,3.3,3.3,3.3
268,3.3,3.3,3.3
269,3.3,3.3,3.3
271,3.3,3.3,3.3
273,3.3,1.98,3.3
275,3.3,0.26,3.3
277,3.3,0.29,3.3
279,3.3,1.78,3.3
281,3.3,2.92,3.3
283,3.3,3.3,3.3
285,3.3,3.3,3.3
287,3.3,3.3,3.3
289,3.3,3.3,3.3
291,3.3,3.3,3.3
293,3.3,1.87,3.3
295,3.03,0.22,3.3
297,2.79,0.3,3.3
300,3.14,2.06,3.3
302,3.3,3.27,3.3
304,3.3,3.3,3.3
306,3.3,3.3,3.3
308,3.3,3.3,3.3
310,3.3,3.3,3.3
312,3.3,3.3,3.3
314,2.79,2.05,3.3
315,1.44,0.37,3.3
317,1.55,0.67,3.3
319,1.66,2.39,3.28
321,1.77,3.3,3.29
323,2.47,3.3,3.3
325,3.22,3.3,3.3
327,3.3,3.3,3.03
329,3.3,3.3,3.19
331,3.3,3.3,3.3
333,1.75,2.01,3.19
335,0.76,0.63,3
337,1.08,0.75,3
339,1.48,2.42,2.98
342,2.03,3.3,3.11
344,2.68,3.3,3.23
346,3.08,3.3,3.12
348,3.3,3.3,3.02
350,3.3,3.3,3.06
352,2.56,3.3,3.23
354,0.77,1.99,3.3
356,0,0.56,3.15
358,0,0.78,2.97
359,0,2.55,3.11
361,0,3.3,3.19
363,0.52,3.3,3.2
365,1.75,3.3,3.23
367,3.2,3.3,3.3
369,2.77,3.3,3.05
371,2.27,3.3,3.24
373,0.86,2.09,3.3
375,0,0.53,3.3
377,0.05,0.74,3.3
379,0.77,2.42,3.3
381,1.59,3.3,3.3
384,2.37,3.3,3.3
386,3.06,3.3,3.3
388,3.3,3.3,3.15
390,3.3,3.3,3.22
392,3.3,3.3,3.3
394,1.99,2.18,3.3
396,1.26,0.62,3.3
398,1.45,0.67,3.3
400,1.75,2.74,3.3
402,2.36,3.3,3.3
404,3.04,3.3,3.3
405,3.3,3.3,3.3
407,3.3,3.3,3.3
409,3.3,3.3,3.3
411,3.3,3.3,3.24
413,2.69,1.73,3.15
415,1.65,0.41,3.26
417,2.05,1.03,3.3
419,2.4,2.51,3.21
421,2.82,3.3,3.18
423,3.23,3.3,3.2
425,3.3,3.3,3.19
428,3.3,3.3,3.05
430,3.3,3.3,3.06
432,3.3,3.3,3.28
434,1.74,1.66,3.3
436,0.74,0.34,3.3
438,0.98,0.97,3.3
440,1.3,2.66,3.3
442,1.98,3.3,3.3
444,2.45,3.3,3.3
446,3.22,3.3,3.3
448,3.3,3.3,3.3
450,3.3,3.3,3.3
452,2.4,3.3,3.3
453,0.63,1.56,3.3
455,0,0.41,3.3
457,0,0.98,3.3
459,0.51,2.6,3.3
461,0.81,3.3,3.3
463,1.33,3.3,3.3
465,2.31,3.3,3.3
467,3.3,3.3,3.3
470,3.01,3.3,3.3
472,2.13,3.3,3.3
474,0.38,1.45,3.3
476,0,0.15,3.3
478,0.25,0.75,2.86
480,0.96,2.53,2.49
482,1.69,3.3,2.53
484,2.36,3.3,2.54
486,3.19,3.3,2.36
488,3.3,3.3,2.32
490,3.3,3.3,2.37
492,3.25,3.3,2.69
494,1.5,1.35,2.84
496,0.71,0,2.85
497,1.25,0.76,2.7
499,2.16,2.56,2.94
501,2.81,3.3,2.96
503,3.3,3.3,2.92
505,3.3,3.3,2.78
507,3.3,3.3,2.86
509,3.3,3.3,2.93
512,3.3,3.3,3.09
514,3.04,1.38,3.14
516,2.49,0.17,3.3
518,3.12,0.95,3.3
520,3.3,2.5,3.3
522,3.3,3.3,3.3
524,3.3,3.3,3.3
526,3.3,3.3,3.3
528,3.3,3.3,3.3
530,3.3,3.3,3.3
532,3.3,3.3,3.3
534,2.69,1.31,3.3
536,1.87,0.22,3.3
538,2.22,0.86,3.3
539,2.78,2.59,3.3
541,2.91,3.3,3.28
543,3.04,3.3,3.29
545,3.3,3.3,3.1
547,3.3,3.3,2.97
549,3.3,3.3,2.91
551,3.03,3.3,3.05
553,1.45,1.41,3.19
556,0.65,0.11,3.17
558,0.84,0.83,3.06
560,1.4,2.68,3.3
562,1.92,3.3,3.3
564,2.63,3.3,3.3
566,3.3,3.3,2.95
568,3.3,3.3,2.92
570,3.3,3.3,3.06
572,3.25,3.3,3.3
574,1.74,1.1,3.3
576,1.31,0.09,3.13
578,1.71,1.05,3.14
580,2.31,2.75,3.26
582,2.66,3.3,3.27
583,3.14,3.3,3.3
585,3.3,3.3,3.3
587,3.3,3.3,3.12
589,3.3,3.3,2.75
591,3.3,3.3,2.63
593,1.95,1.05,2.92
595,1.5,0.27,3.09
598,2.22,1,3.14
600,3.15,2.56,2.89
602,3.3,3.3,2.8
604,3.3,3.3,3.09
606,3.3,3.3,3
608,3.3,3.3,2.92
610,3.3,3.3,3.06
612,3.3,3.3,3.3
614,1.76,1.01,3.29
616,1.45,0.22,3.3
618,2.19,1.36,3.3
620,2.82,2.91,3.3
622,3.3,3.3,3.3
624,3.3,3.3,3.3
626,3.3,3.3,3.3
628,3.3,3.3,3.3
630,3.3,3.3,3.3
632,3.3,3.22,3.3
633,2.33,0.93,3.28
635,2.29,0.31,3.3
637,2.6,1.16,3.3
640,3.08,2.82,3.24
642,3.3,3.3,3.27
644,3.3,3.3,3.3
646,3.3,3.3,3.3
648,3.3,3.3,3.3
650,3.3,3.3,2.49
652,3.3,3.3,2.83
654,2.44,1.16,3.3
656,1.89,0.55,3.25
658,2.13,1.59,2.74
660,2.73,2.95,2.62
662,3.3,3.3,2.85
664,3.3,3.3,3.08
666,3.3,3.3,2.72
668,3.3,3.3,1.93
670,3.3,3.3,2.45
672,3.3,3.3,2.71
674,1.49,0.95,2.8
676,0.78,0.43,3.05
677,1,1.53,3.16
679,1.74,3.3,3.3
681,2.49,3.3,3.3
684,3.17,3.3,1.73
686,3.3,3.3,1.69
688,3.3,3.3,2.67
690,3.3,3.3,2.94
692,3.17,3.16,2.9
694,1.73,0.82,2.73
696,1.48,0.27,2.82
698,1.7,1.35,2.83
700,1.95,2.85,2.79
702,2.4,3.3,2.96
704,3.23,3.3,2.9
706,3.3,3.3,3.19
708,3.3,3.3,3.3
710,3.3,3.3,2.58
712,3.05,3.04,2.25
714,1.45,0.66,2.24
716,1.33,0.12,2.5
718,1.73,1.2,2.4
720,2.17,2.75,2.45
722,2.91,3.3,2.51
723,3.3,3.3,2.4
726,3.3,3.3,2.42
728,3.3,3.3,2.5
730,3.3,3.3,2.5
732,3.07,2.77,2.48
734,1.67,0.54,2.55
736,1.71,0.19,2.64
738,2.21,1.43,2.68
740,2.62,2.8,2.71
742,2.9,3.3,2.86
744,3.3,3.3,2.92
746,3.3,3.3,2.39
748,3.3,3.3,2.26
750,3.3,3.3,2.45
752,3.3,2.79,2.75
754,1.67,0.58,2.8
756,1.55,0.15,2.72
758,2.13,1.44,2.63
760,2.59,2.9,2.63
762,2.99,3.3,2.75
764,3.3,3.3,2.76
766,3.3,3.3,2.77
769,3.3,3.3,2.72
771,3.3,3.3,2.9
773,3.3,2.4,3.04
774,2,0.32,3.2
776,1.83,0.07,2.89
778,2.13,1.43,2.71
780,2.67,2.94,3.13
782,3.22,3.3,3.3
784,3.3,3.3,2.81
786,3.3,3.3,3.07
788,3.3,3.3,2.89
790,3.3,3.3,2.78
792,3.22,2.65,2.82
794,1.81,0.57,3
796,1.75,0.38,3.1
798,2.36,1.74,3.2
800,2.99,3.09,3.22
802,3.3,3.3,3.13
804,3.3,3.3,3.13
806,3.3,3.3,2.97
808,3.3,3.3,3.18
811,3.3,3.3,3.25
813,3.3,2.79,3.3
815,2.52,0.7,3.3
816,1.6,0.55,3.3
818,1.31,1.93,2.83
820,2.18,3.26,2.99
822,2.82,3.3,3.21
824,3.3,3.3,3.28
826,3.3,3.3,3.3
828,3.3,3.3,3.29
830,3.3,3.3,2.86
832,3.3,2.89,3.11
834,1.97,0.76,3.3
836,2.03,0.59,3.3
838,2.6,1.95,3.3
840,3.09,3.21,3.3
842,3.3,3.3,3.3
844,3.3,3.3,3.3
846,3.3,3.3,3.3
848,3.3,3.3,3.3
850,3.3,3.3,3.3
852,3.3,2.83,3.3
855,2.3,0.66,3.14
857,2.31,0.3,3.3
859,2.58,1.68,3.3
861,3.1,2.96,3.27
862,3.3,3.3,3.3
864,3.3,3.3,3.3
866,3.3,3.3,3.3
868,3.3,3.3,3.3
870,3.3,3.3,3.27
872,3.28,2.31,3.3
874,1.99,0.39,3.3
876,2.13,0.07,3.3
878,2.53,1.73,3.3
880,3.3,3,3.3
882,3.3,3.3,3.3
884,3.3,3.3,3.3
886,3.3,3.3,3.3
888,3.3,3.3,3.3
890,3.3,3.3,3.3
892,1.26,2.46,3.3
894,0,0.44,3.3
897,0.06,0.52,3.3
899,0.69,1.9,3.3
901,1.24,3.15,3.3
903,2.26,3.3,3.3
905,3.18,3.3,3.3
906,3.3,3.3,3.2
908,3.3,3.3,3.1
910,3.3,3.3,3.3
912,2.32,2.36,3.3
914,1.2,0.58,3.3
916,1.38,0.57,2.68
918,1.88,2.05,3.22
920,2.45,3.3,3.3
922,2.88,3.3,3.3
924,3.3,3.3,3.3
926,3.3,3.3,3.23
928,3.3,3.3,3.3
930,3.3,3.3,3.3
932,2.71,2.25,2.97
934,1.25,0.48,3.27
936,1.91,0.32,3.03
939,2.31,1.87,3.3
941,3,3.25,3.3
943,3.3,3.3,3.3
945,3.3,3.3,3.3
947,3.3,3.3,3.3
949,3.3,3.3,3.3
951,3.3,3.3,3.3
952,3.3,2.34,3.3
954,2.83,0.39,3.3
956,3.11,0.29,3.28
958,3.3,2.08,3.3
960,3.3,3.21,3.3
962,3.3,3.3,3.14
964,3.3,3.3,2.93
966,3.3,3.3,3.3
968,3.3,3.3,3.3
970,3.3,3.3,3.3
972,3.3,2.14,3.3
974,2.79,0.42,3.3
976,2.79,0.49,3.3
978,3.01,1.92,3.3
980,3.3,3.02,3.23
983,3.3,3.3,3.3
985,3.3,3.3,3.3
987,3.3,3.3,3.3
989,3.3,3.3,3.3
991,3.3,3.3,3.3
993,2.22,2.03,3.3
995,1.07,0.4,3.3
997,1.35,0.85,3.3
998,1.7,2.58,3.3
1000,2.24,3.3,3.3
1002,2.85,3.3,3.3
1004,3.3,3.3,3.3
1006,3.3,3.3,3.3
1008,3.3,3.3,3.3
1010,3.3,3.3,3.3
1012,3.24,1.9,3.3
1014,1.88,0.24,3.3
1016,2.65,0.31,3.3
1018,3.3,2.26,3.3
1020,3.3,3.3,3.3
1022,3.3,3.3,3.3
1025,3.3,3.3,3.3
1027,3.3,3.3,3.03
1029,3.3,3.3,3.3
1031,3.3,3.3,3.3
1033,3.3,2.05,3.3
1035,2.69,0.58,3.3
1037,2.85,1.11,3.3
1039,2.74,2.57,3.3
1040,3.3,3.3,3.3
1042,3.3,3.3,3.3
1044,3.3,3.3,3.3
1046,3.3,3.3,3.3
1048,3.3,3.3,3.3
1050,3.3,3.3,3.3
1052,2.62,2.92,3.3
1054,2.12,1.18,3.3
1056,3.3,1.33,3.3
1058,3.3,3.13,3.3
1060,3.3,3.3,3.3
1062,3.3,3.3,3.3
1064,3.3,3.3,3.3
1067,3.3,3.3,3.3
1069,3.3,3.3,3.3
1071,3.3,3.3,3.3
1073,3.3,3.09,3.3
1075,3.3,1.46,3.3
1077,3.3,1.55,3.3
1079,3.3,3.3,3.3
1081,3.3,3.3,3.3
1082,3.3,3.3,3.3
1084,3.3,3.3,3.3
1086,3.3,3.3,3.3
1088,3.3,3.3,3.3
1090,3.3,3.3,3.3
1092,3.3,2.52,3.3
1094,3.3,0.84,3.3
1096,3.3,1.02,3.3
1098,3.3,2.67,3.3
1100,3.3,3.3,3.3
1102,3.3,3.3,3.3
1104,3.3,3.3,3.3
1106,3.3,3.3,3.3
1108,3.3,3.3,3.3
1111,3.3,3.3,3.3
1113,3.3,2.07,3.3
1115,3.3,0.37,3.3
1117,3.3,0.95,3.3
1119,3.3,2.82,3.3
1121,3.3,3.3,3.3
1123,3.3,3.3,3.3
1125,3.3,3.3,3.3
1126,3.3,3.3,3.3
1128,3.3,3.3,3.3
1130,3.3,3.3,3.3
1132,3.3,3.15,3.3
1134,3.3,1.76,3.3
1136,3.3,2.36,3.3
1138,3.3,3.3,3.3
1140,3.3,3.3,3.3
1142,3.3,3.3,3.3
1144,3.3,3.3,3.3
1146,3.3,3.3,3.3
1148,3.3,3.3,3.3
1150,3.3,3.3,3.3
1153,3.3,3.3,3.3
1155,3.3,2.25,3.3
1157,3.3,2.42,3.3
1159,3.3,3.3,3.3
1161,3.3,3.3,3.3
1163,3.3,3.3,3.3
1165,3.3,3.3,3.3
1167,3.3,3.3,3.3
1168,3.3,3.3,3.3
1170,3.3,3.3,3.3
1172,3.3,3.3,3.3
1174,3.3,1.62,3.3
1176,3.3,1.76,3.3
1178,3.3,3.3,3.3
1180,3.3,3.3,3.3
1182,3.3,3.3,3.3
1184,3.3,3.3,3.3
1186,3.3,3.3,3.3
1188,3.3,3.3,3.3
1190,3.3,3.3,3.3
1192,3.3,2.55,3.3
1195,3.3,0.86,3.3
1197,3.3,1.26,3.3
1199,3.3,2.92,3.3
1201,3.3,3.3,3.3
1203,3.3,3.3,3.3
1205,3.3,3.3,3.3
1207,3.3,3.3,3.3
1209,3.3,3.3,3.3
1210,3.3,3.3,3.3
1212,3.3,1.76,3.3
1214,3.3,0.18,3.3
1216,3.3,0.38,3.3
1218,3.3,2.26,3.3
1220,3.3,3.3,3.3
1222,3.3,3.3,3.3
1224,3.3,3.3,3.3
1226,3.3,3.3,3.3
1228,3.3,3.3,3.3
1230,3.3,3.3,3.3
1232,1.8,1.2,3.3
1234,0.85,0,3.3
1236,1.16,0.09,3.3
1239,1.71,1.73,3.3
1241,1.93,3.23,3.3
1243,2.05,3.3,3.3
1245,2.67,3.3,2.56
1247,3.3,3.3,1.63
1249,3.3,3.3,1.15
1251,2.28,3.3,0.64
1253,0.33,1.04,0.14
1254,0,0,0
1256,0,0.05,0
1258,0,1.38,0
1260,0,2.82,0
1262,0.02,3.3,0
1264,0.44,3.3,0
1266,1.4,3.3,0
1268,1.25,3.3,0
1270,0.78,3.3,0
1272,0,1.06,0
1274,0,0,0
1276,0,0.25,0
1278,0,1.55,0
1281,0,2.81,0
1283,0,3.3,0
1285,0,3.3,0
1287,0.69,3.3,0
1289,0.49,3.3,0
1291,0,2.82,0
1293,0,0.17,0
1295,0,0,0
1296,0,0,0
1298,0,0.64,0
1300,0,1.48,0
1302,0,2.2,0
1304,0,2.8,0
1306,0,3.3,0
1308,0,2.56,0
1310,0,1.01,0
1312,0,0,0
1314,0,0,0
1316,0,0,0
1318,0,0,0
1320,0,0.74,0
1323,0,1.59,0
1325,0,2.27,0
1327,0.24,3.3,0
1329,0.11,2.65,0
1331,0,1.09,0
1333,0,0,0
1335,0,0,0
1337,0,0,0
1338,0,0,0
1340,0,0.52,0
1342,0,1.4,0
1344,0,2.08,0
1346,0,3.3,0
1348,0,2.51,0
1350,0,1.07,0
1352,0,0,0
1354,0,0,0
1356,0,0,0
1358,0,0.18,0
1360,0,0.93,0
1362,0,1.78,0
1364,0,2.67,0
1367,0,3.3,0
1369,0,3.3,0
1371,0,1.95,0
1373,0,0,0
1375,0,0,0
1377,0,0,0
1379,0,0.93,0
1381,0,1.83,0
1382,0,2.77,0.07
1384,0,3.3,0.04
1386,0,3.3,0.29
1388,0,3.3,0
1390,0,2.83,0.06
1392,0,0.51,0.32
1394,0,0,0.15
1396,0,0,0.23
1398,0,1.54,0.57
1400,0,2.77,1.34
1402,0,3.3,1.9
1404,0,3.3,1.84
1406,0,3.3,1.94
1409,0,3.3,2.11
1411,0,3.3,2.16
1413,0,1.15,2.38
1415,0,0,2.68
1417,0,0.35,2.98
1419,0,2.11,3.14
1421,0,3.23,3.3
1423,0,3.3,3.3
1424,0.47,3.3,3.3
1426,2.17,3.3,3.3
1428,2.08,3.3,3.3
1430,1.39,3.3,3.3
1432,0,1.37,3.3
1434,0,0.18,3.3
1436,0.19,0.82,3.3
1438,0.51,2.63,3.3
1440,0.64,3.3,3.3
1442,1.15,3.3,3.3
1444,1.96,3.3,3.3
1446,3.3,3.3,3.3
1448,2.99,3.3,3.3
1451,2.33,3.3,3.3
1453,1.15,1.58,3.3
1455,0.31,0.25,3.3
1457,1.05,0.93,3.3
1459,2.33,2.68,3.3
1461,3.26,3.3,3.3
1463,3.3,3.3,3.3
1465,3.3,3.3,3.3
1466,3.3,3.3,3.3
1468,3.3,3.3,3.3
1470,3.3,3.3,3.3
1472,2.99,1.68,3.3
1474,2.21,0.38,3.3
1476,2.63,1.17,3.3
1478,3.3,2.99,3.3
1480,3.3,3.3,3.3
1482,3.3,3.3,3.3
1484,3.3,3.3,3.3
1486,3.3,3.3,3.3
1488,3.3,3.3,3.3
1490,3.3,3.3,3.3
1492,2.72,1.43,3.3
1495,1.25,0.18,3.3
1497,1.35,0.9,3.3
1499,1.85,2.75,3.3
1501,1.94,3.3,3.3
1503,2.56,3.3,3.3
1505,3.23,3.3,3.3
1507,3.3,3.3,3.3
1509,3.3,3.3,3.3
1510,3.03,3.3,3.3
1512,1.55,1.2,3.3
1514,0.6,0,3.3
1516,0.89,0.97,3.3
1518,1.76,2.77,3.3
1520,2.26,3.3,3.3
1522,2.66,3.3,3.3
1524,3.25,3.3,3.3
1526,3.3,3.3,3.3
1528,3.3,3.3,3.3
1530,3.07,3.3,3.3
1532,1.66,1.44,3.3
1534,1.01,0.24,3.3
1537,1.28,1.09,3.3
1539,1.51,2.77,3.3
1541,2.08,3.3,3.3
1543,2.91,3.3,3.3
1545,3.3,3.3,3.04
1547,3.3,3.3,2.79
1549,3.28,3.3,2.68
1551,2.37,3.3,2.67
1552,0.56,1.55,2.32
1554,0,0.6,2.18
1556,0.23,1.41,1.82
1558,0.85,3.02,1.66
1560,1.59,3.3,1.55
1562,2.04,3.3,1.6
1564,2.92,3.3,1.75
1566,3.3,3.3,1.64
1568,3.06,3.3,1.56
1570,2.32,3.3,1.43
1572,0.8,1.47,1.5
1574,0.08,0.41,2.22
1576,0.41,1.3,2.53
1579,0.96,2.87,2.52
1581,1.73,3.3,2.54
1583,2.66,3.3,2.45
1585,3.3,3.3,2.5
1587,3.3,3.3,2.49
1589,3.3,3.3,2.55
1591,3.2,3.3,2.67
1593,1.58,1.52,2.65
1594,0.99,0.77,3.01
1596,1.37,1.51,2.86
1598,2.01,3.04,2.06
1600,2.78,3.3,1.96
1602,3.3,3.3,2.2
1604,3.3,3.3,2.26
1606,3.3,3.3,2.47
1608,3.3,3.3,2.08
1610,3.3,3.3,2.03
1612,3.3,1.45,2.43
1614,2.55,0.42,2.43
1616,2.85,1.41,2.57
1618,3.3,3,2.58
1620,3.3,3.3,2.72
1623,3.3,3.3,2.74
1625,3.3,3.3,2.76
1627,3.3,3.3,2.59
1629,3.3,3.3,2.45
1631,3.3,3.3,2.44
1633,3.3,1.45,2.4
1635,3.3,0.5,2.4
1637,3.3,1.51,2.26
1638,3.3,3.03,2.03
1640,3.3,3.3,1.71
1642,3.3,3.3,1.7
1644,3.3,3.3,1.73
1646,3.3,3.3,1.6
1648,3.3,3.3,1.69
1650,3.3,3.3,2.22
1652,2.51,1.66,2.61
1654,0.71,0.8,2.64
1656,1.19,1.65,2.45
1658,2.32,3.13,2.32
1660,3.3,3.3,2.07
1662,3.3,3.3,1.95
1665,3.3,3.3,1.79
1667,3.3,3.3,1.5
1669,3.3,3.3,1.63
1671,3.3,3.3,1.69
1673,2.97,1.42,1.76
1675,2.34,0.47,1.7
1677,2.81,1.71,1.57
1679,3.3,3.27,1.81
1680,3.3,3.3,1.83
1682,3.3,3.3,1.76
1684,3.3,3.3,1.78
1686,3.3,3.3,1.98
1688,3.3,3.3,1.96
1690,0.07,3.3,2.19
1692,0,1.85,2.31
1694,0,0.88,2.65
1696,0,2.02,2.81
1698,0,3.3,2.79
1700,0.11,3.3,2.76
1702,0.93,3.3,2.91
1704,1.73,3.3,2.82
1707,2.77,3.3,2.67
1709,2.15,3.3,2.67
1711,1.01,3.3,2.83
1713,0,1.8,2.19
1715,0,1.23,2.3
1717,0.07,2.11,2.19
1719,0.65,3.3,1.96
1721,1.25,3.3,1.99
1722,1.98,3.3,2.25
1724,3.22,3.3,2.1
1726,3.3,3.3,2.04
1728,2.67,3.3,1.9
1730,1.79,3.3,2.27
1732,1.04,1.74,2.38
1734,1.01,0.86,1.71
1736,1.48,1.74,1.63
1738,2.29,3.2,1.64
1740,2.94,3.3,1.57
1742,3.3,3.3,1.7
1744,3.3,3.3,1.77
1746,3.3,3.3,1.78
1748,3.3,3.3,1.93
1751,3.3,3.3,1.89
1753,2.18,1.41,1.81
1755,1.69,0.43,2.06
1757,2.22,1.55,3.01
1759,3,3.01,3.3
1761,3.3,3.3,3.3
1763,3.3,3.3,3.3
1765,3.3,3.3,3.3
1766,3.3,3.3,3.3
1768,3.3,3.3,3.3
1770,3.3,3.3,3.3
1772,2.5,1.06,3.3
1774,1.47,0.29,3.3
1776,1.72,1.42,3.3
1778,2.34,2.96,3.3
1780,2.95,3.3,3.3
1782,3.3,3.3,3.3
1784,3.3,3.3,3.3
1786,3.3,3.3,3.3
1788,3.3,3.3,3.3
1790,3.3,3.3,3.3
